timestamp,x,y,z
149742649500000,0.0,0.0,0.0
149742649501000,0.0,0.0,0.0
149742649502000,0.0,0.0,0.0
149742649503000,0.0,0.0,0.0
149742649504000,0.0,0.0,0.0
149742649505000,0.0,0.0,0.0
149742649506000,0.0,0.0,0.0
149742649507000,0.0,0.0,0.0
149742649508000,0.0,0.0,0.0
149742649509000,0.0,0.0,0.0
149742649510000,0.0,0.0,0.0
149742649511000,0.0,0.0,0.0
149742649512000,0.0,0.0,0.0
149742649513000,0.0,0.0,0.0
149742649514000,0.0,0.0,0.0
149742649515000,0.0,0.0,0.0
149742649516000,0.0,0.0,0.0
149742649517000,0.0,0.0,0.0
149742649518000,0.0,0.0,0.0
149742649519000,0.0,0.0,0.0
149742649520000,0.0,0.0,0.0
149742649521000,0.0,0.0,0.0
149742649522000,0.0,0.0,0.0
149742649523000,0.0,0.0,0.0
149742649524000,0.0,0.0,0.0
149742649525000,0.0,0.0,0.0
149742649526000,0.0,0.0,0.0
149742649527000,0.0,0.0,0.0
149742649528000,0.0,0.0,0.0
149742649529000,0.0,0.0,0.0
149742649530000,0.0,0.0,0.0
149742649531000,0.0,0.0,0.0
149742649532000,0.0,0.0,0.0
149742649533000,0.0,0.0,0.0
149742649534000,0.0,0.0,0.0
149742649535000,0.0,0.0,0.0
149742649536000,0.0,0.0,0.0
149742649537000,0.0,0.0,0.0
149742649538000,0.0,0.0,0.0
149742649539000,0.0,0.0,0.0
149742649540000,0.0,0.0,0.0
149742649541000,0.0,0.0,0.0
149742649542000,0.0,0.0,0.0
149742649543000,0.0,0.0,0.0
149742649544000,0.0,0.0,0.0
149742649545000,0.0,0.0,0.0
149742649546000,0.0,0.0,0.0
149742649547000,0.0,0.0,0.0
149742649548000,0.0,0.0,0.0
149742649549000,0.0,0.0,0.0
149742649550000,0.0,0.0,0.0
149742649551000,0.0,0.0,0.0
149742649552000,0.0,0.0,0.0
149742649553000,0.0,0.0,0.0
149742649554000,0.0,0.0,0.0
149742649555000,0.0,0.0,0.0
149742649556000,0.0,0.0,0.0
149742649557000,0.0,0.0,0.0
149742649558000,0.0,0.0,0.0
149742649559000,0.0,0.0,0.0
149742649560000,0.0,0.0,0.0
149742649561000,0.0,0.0,0.0
149742649562000,0.0,0.0,0.0
149742649563000,0.0,0.0,0.0
149742649564000,0.0,0.0,0.0
149742649565000,0.0,0.0,0.0
149742649566000,0.0,0.0,0.0
149742649567000,0.0,0.0,0.0
149742649568000,0.0,0.0,0.0
149742649569000,0.0,0.0,0.0
149742649570000,0.0,0.0,0.0
149742649571000,0.0,0.0,0.0
149742649572000,0.0,0.0,0.0
149742649573000,0.0,0.0,0.0
149742649574000,0.0,0.0,0.0
149742649575000,0.0,0.0,0.0
149742649576000,0.0,0.0,0.0
149742649577000,0.0,0.0,0.0
149742649578000,0.0,0.0,0.0
149742649579000,0.0,0.0,0.0
149742649580000,0.0,0.0,0.0
149742649581000,0.0,0.0,0.0
149742649582000,0.0,0.0,0.0
149742649583000,0.0,0.0,0.0
149742649584000,0.0,0.0,0.0
149742649585000,0.0,0.0,0.0
149742649586000,0.0,0.0,0.0
149742649587000,0.0,0.0,0.0
149742649588000,0.0,0.0,0.0
149742649589000,0.0,0.0,0.0
